number;name;brand;price;numberofsim;diagonal;width;length;screentechnology;os;numberofcore;memoryGB;sensortype
64;Samsung Galaxy A03s 32GB, Black;Samsung;59890;2;6.5;1600;720;LCD;Android 11;8;32;gps
65;Xiaomi Redmi 9C 32GB, Twilight Blue;Xiaomi;59990;2;6.53;1600;720;IPS;Android 10;8;32;акселерометр
66;Xiaomi Redmi 9C 32GB, Midnight Gray;Xiaomi;59990;2;6.53;1600;720;IPS;Android 10;8;32;акселерометр
67;Samsung Galaxy A12 64GB NEW, Red;Samsung;79890;2;6.5;720;1600;TFT;Android 11;8;64;gps
68;Samsung Galaxy A12 64GB NEW, Black;Samsung;79890;2;6.5;720;1600;TFT;Android 11;8;64;gps
69;Samsung Galaxy A12 64GB NEW, Blue;Samsung;79890;2;6.5;720;1600;TFT;Android 11;8;64;gps
70;Samsung Galaxy A12 NEW 32GB, Red;Samsung;69890;2;6.5;720;1600;TFT;Android 11;8;32;gps
71;Samsung Galaxy A12 NEW 32GB, Black;Samsung;69890;2;6.5;720;1600;TFT;Android 11;8;32;gps
72;Samsung Galaxy A12 NEW 32GB, Blue;Samsung;69890;2;6.5;720;1600;TFT;Android 11;8;32;gps
73;Galaxy Z Fold 3 256GB, Phantom Green;Galaxy;899890;2;7.6;1768;2208;Dynamic AMOLED 2X;Android 11;8;256;gps
74;Galaxy Z Fold 3 256GB, Phantom Black;Galaxy;899890;2;7.6;1768;2208;Dynamic AMOLED 2X;Android 11;8;256;gps
75;Galaxy Z Fold 3 256GB, Phantom Silver;Galaxy;899890;2;7.6;1768;2208;Dynamic AMOLED 2X;Android 11;8;256;gps
76;Galaxy Z Fold 3 512GB, Phantom Green;Galaxy;999890;2;7.6;1768;2208;Dynamic AMOLED 2X;Android 11;8;512;gps
77;Galaxy Z Fold 3 512GB, Phantom Black;Galaxy;999890;2;7.6;1768;2208;Dynamic AMOLED 2X;Android 11;8;512;gps
78;Galaxy Z Fold 3 512GB, Phantom Beige;Galaxy;999890;2;7.6;1768;2208;Dynamic AMOLED 2X;Android 11;8;512;gps
79;Samsung Galaxy Z Flip 3 128GB, Green (SM-F711BZGASKZ);Samsung;549890;2;6.7;2640;1080;Dynamic AMOLED 2X;Android 11;8;128;gps
80;Samsung Galaxy Z Flip 3 128GB, Black (SM-F711BZKASKZ);Samsung;549890;2;6.7;2640;1080;Dynamic AMOLED 2X;Android 11;8;128;gps
81;Samsung Galaxy Z Flip 3 256GB, Black (SM-F711BZKESKZ);Samsung;579890;2;6.7;2640;1080;Dynamic AMOLED 2X;Android 11;8;256;gps
82;Samsung Galaxy A22, 128Гб, белый (SM-A225FZWGSKZ);Samsung;109890;2;6.4;1600;720;Super AMOLED;Android;8;128;gps
83;Samsung Galaxy A22, 128Гб, мятный (SM-A225FLGGSKZ);Samsung;109890;2;6.4;1600;720;Super AMOLED;Android;8;128;gps
84;Samsung Galaxy A22, 64Гб, мятный (SM-A225FLGDSKZ);Samsung;99890;2;6.4;1600;720;Super AMOLED;Android;8;64;gps
85;Samsung Galaxy A22 64GB Black (SM-A225FZKDSKZ);Samsung;99890;2;6.4;720;1600;Super AMOLED;Android;8;64;gps
86;Samsung Galaxy A22 128GB, черный (SM-A225FZKGSKZ);Samsung;109890;2;6.4;720;1600;Super AMOLED;Android;8;128;gps
87;Samsung Galaxy A22 64GB White (SM-A225FZWDSKZ);Samsung;99890;2;6.4;720;1600;Super AMOLED;Android;8;64;gps
88;Xiaomi Redmi Note 10S 6-128GB, Pebble White;Xiaomi;119990;2;6.43;2400;1080;AMOLED;Android;8;128;gps
89;Xiaomi Redmi Note 10S 6-64GB, Pebble White;Xiaomi;109990;2;6.43;2400;1080;AMOLED;Android;8;64;gps
90;BQ 6631G Surf черный;BQ;40625;2;6.53;720;1560;IPS;Android 10;4;16;gps
91;BQ 6630L Magic L, черный;BQ;60000;2;6.53;720;1600;IPS;Android 10;8;32;gps
92;Vivo Y31 64GB, Racing Black;Vivo;99990;2;6.58;2400;1080;IPS;Android 10;8;64;акселерометр
93;Vivo Y31 64GB, Ocean Blue;Vivo;99990;2;6.58;2400;1080;IPS;Android 10;8;64;акселерометр
94;Xiaomi Poco M3 Pro 4/64GB, Power Black;Xiaomi;99990;2;6.5;2400;1080;IPS-LCD;Android;8;64;gps
95;Xiaomi Poco X3 Pro 8/256GB, Frost Blue;Xiaomi;149990;2;6.67;2400;1080;IPS;Android 11;8;256;акселерометр
96;Xiaomi Mi 11 8/256GB, Horizon Blue;Xiaomi;399990;2;6.81;3200;1440;AMOLED;Android 11;8;256;гироскоп
97;Vivo V21, Sunset Dazzle;Vivo;179990;2;6.44;2404;1080;AMOLED;Android 11;8;128;акселерометр
98;Vivo V21, Dusk Blue;Vivo;179990;2;6.44;2404;1080;AMOLED;Android 11;8;128;акселерометр
99;Vivo V21E, Diamond Flare;Vivo;149990;2;6.44;2400;1080;AMOLED;Android 11;8;128;акселерометр
100;Vivo V21E, Roman Black;Vivo;149990;2;6.44;2400;1080;AMOLED;Android 11;8;128;акселерометр
101;Nokia C20 DS LTE 32 GB, Blue;Nokia;47990;2;6.5;2400;1080;AMOLED;Android 11;8;32;gps
102;Nokia G20 DS LTE 64GB, Blue;Nokia;84990;2;6.5;1600;720;AMOLED;Android 11;8;64;акселерометр
103;Nokia 1.4 DS LTE, Blue;Nokia;49990;2;6.5;720;1600;AMOLED;Android Q Go;8;32;акселерометр
104;Xiaomi Redmi Note 10s 6-128GB, Ocean Blue;Xiaomi;119990;2;6.43;2400;1080;AMOLED;Android 11;8;128;gps
