number;name;brand;price;numberofsim;diagonal;width;length;screentechnology;os;numberofcore;memoryGB;sensortype
149;Xiaomi Redmi 9T 128GB, Ocean Green;Xiaomi;89990;2;6.53;2340;1080;IPS;Android 10;8;128;отпечатков пальцев
150;Xiaomi Redmi 9T, Twilight Blue;Xiaomi;89990;2;6.53;2340;1080;IPS;Android 10;8;128;отпечатков пальцев
151;Xiaomi Redmi 9T, Carbon Gray;Xiaomi;89990;2;6.53;2340;1080;IPS;Android 10;8;128;отпечатков пальцев
152;Samsung Galaxy S21 Ultra 256Gb, Black (SM-G998BZKGSKZ);Samsung;666533;2;6.8;1080;2400;Dynamic AMOLED 2X;Android 11;8;256;акселерометр
153;OPPO A15s, Mystery Blue;OPPO;84990;2;6.52;1600;720;IPS;Android 10;8;64;Face ID
154;OPPO A15s, Dynamic Black;OPPO;84990;2;6.52;1600;720;IPS;Android 10;8;64;Face ID
155;Vivo Y31 4/128Gb, Racing Black;Vivo;109990;2;6.58;2400;1080;IPS;Android 10;8;128;акселерометр
156;Vivo Y31 4/128Gb, Ocean Blue;Vivo;109990;2;6.58;2400;1080;IPS;Android 10;8;128;акселерометр
157;BQ-5016G Choice, Черный Графит;BQ-5016G;32666;2;5.0;1280;720;IPS;Android 9.0;4;16;gps
158;BQ-5016G Choice, Темно-Синий;BQ-5016G;32666;2;5.0;1280;720;IPS;Android 9.0;4;16;gps
159;BQ-5016G Choice, Винный Красный;BQ-5016G;32666;2;5.0;1280;720;IPS;Android 9.0;4;16;gps
160;Vivo Y20 Nebula Blue (2027);Vivo;79990;2;6.51;1600;720;IPS;Android;8;64;акселерометр
161;Vivo Y20 Obsidian Black (2027);Vivo;79990;2;6.51;1600;720;IPS;Android;8;64;акселерометр
162;BQ-5740G Spring, синий;BQ-5740G;31600;2;5.7;960;480;IPS;Android 10;4;16;акселерометр
163;BQ-5740G Spring, Чёрный;BQ-5740G;31600;2;5.7;960;480;IPS;Android 10;4;16;акселерометр
164;BQ-5519G Jeans, Темно-Зеленый;BQ-5519G;24990;2;5.45;960;480;IPS;Android 9.0;4;16;Face ID
165;Realme 7i 4/128GB RMX2103, blue;Realme;89090;2;6.5;1600;720;IPS;Android 10;8;128;Face ID
166;Realme 7i 4/128GB RMX2103, green;Realme;89090;2;6.5;1600;720;IPS;Android 10;8;128;Face ID
167;Vivo V20, Sunset Melody (V2025);Vivo;119090;2;6.44;2400;1080;AMOLED;Android;8;128;гироскоп
168;Vivo V20, Midnight Jazz (V2025);Vivo;139912;2;6.44;2400;1080;AMOLED;Android;8;128;гироскоп
169;Vivo V20SE, Oxygen Blue;Vivo;87590;2;6.44;2400;1080;AMOLED;Android 10;8;128;Face ID
170;Vivo V20SE, Gravity Black;Vivo;87590;2;6.44;2400;1080;AMOLED;Android 10;8;128;Face ID
171;Vivo Y12S, Nebula Blue;Vivo;69990;2;6.51;1600;720;IPS;Android 10;8;32;Face ID
172;Vivo Y12S, Phantom Black;Vivo;69990;2;6.51;1600;720;IPS;Android 10;8;32;Face ID
